Month,Year,Florida_Forecast,California_Forecast
7,24,17960,47500
6,24,17860,46000
5,24,17800,46000
4,24,18800,46000
3,24,19800,46000
2,24,19800,45800
1,24,20500,45800
12,24,20500,44500
11,24,20500,44500
10,24,20500,44500
7,23,15850,44000
6,23,15750,45100
5,23,15650,45100
4,23,16100,45100
3,23,16100,46100
2,23,16000,46100
1,23,18000,46100
12,23,20000,47100
11,23,28000,47100
10,23,28000,47100
7,22,40950,49000
6,22,40700,51300
5,22,40200,51300
4,22,38200,51300
3,22,41200,47600
2,22,43500,47600
1,22,44500,47600
12,22,46000,43500
11,22,47000,43500
10,22,47000,43500
7,21,52800,54500
6,21,52700,52000
5,21,51700,52000
4,21,51700,52000
3,21,55500,52000
2,21,56000,51000
1,21,54000,51000
12,21,56000,50500
11,21,57000,50500
10,21,57000,50500
7,20,67650,51000
6,20,67650,48500
5,20,69650,48500
4,20,70000,48500
3,20,71000,48500
2,20,72000,49000
1,20,74000,49000
12,20,74000,47000
11,20,74000,47000
10,20,74000,47000
10,19,79000,49000
11,19,77000,49000
12,19,77000,49000
1,19,77000,49000
2,19,77000,49000
3,19,77000,49500
4,19,76500,49000
5,19,72400,49000
6,19,71400,49000
7,19,71600,50000
10,18,54000,46000
11,18,50000,46000
12,18,46000,46000
1,18,46000,46000
2,18,45000,46000
3,18,45000,44500
4,18,45000,44500
5,18,44950,44500
6,18,44950,44500
7,18,44950,44000
10,17,70000,50500
11,17,72000,50500
12,17,72000,50500
1,17,71000,53000
2,17,70000,53000
3,17,67000,51800
4,17,67000,51000
5,17,68000,51000
6,17,68500,51000
7,17,68700,48000
10,16,80000,52500
11,16,74000,52500
12,16,69000,52500
1,16,69000,52000
2,16,69000,52000
3,16,71000,52500
4,16,76000,52500
5,16,81100,52500
6,16,81400,52500
7,16,81500,54500
7,15,96700,49000
6,15,96400,50000
5,15,96400,50000
4,15,102000,50000
3,15,102000,50000
2,15,103000,50000
1,15,103000,50000
12,15,108000,50500
11,15,108000,50500
10,15,108000,50500
7,14,104400,54000
6,14,104300,54000
5,14,110300,54000
4,14,110000,54000
3,14,114000,54000
2,14,115000,53500
1,14,115000,53500
12,14,121000,56500
11,14,125000,56500
7,13,133400,57500
6,13,134000,58000
5,13,138000,58000
4,13,138000,58000
3,13,139000,59000
2,13,141000,59500
1,13,142000,59500
12,13,146000,59500
11,13,154000,59500
10,13,154000,59500
10,12,146000,60500
12,12,143000,60500
1,12,140000,60500
2,12,138000,60500
3,12,142000,59500
4,12,142000,61000
5,12,140000,61000
6,12,140000,61000
7,12,139000,61000
10,11,146000,60500
12,11,143000,60500
1,11,140000,60500
2,11,138000,60500
3,11,142000,59500
4,11,142000,61000
5,11,140000,61000
6,11,140000,61000
7,11,139000,61000
1,10,135000,55000
2,10,129000,55000
3,10,131000,55000
4,10,131600,59000
5,10,131600,59000
6,10,133600,59000
7,10,133600,58000
12,10,135000,55000